第3課 ◎読み物1 留学生のための富士登山ガイド

1. 富士(山)　　　　ふじ(さん) (Mt. Fuji)
2. 登山(する)　　　　とざん(する) (to climb a mountain)
3. ガイド　　　　がいど (guide)
4. [〜を]訪れる　　　　おとずれる (to visit (a place))
5. 山梨県　　　　やまなしけん (Yamanashi Prefecture)
6. 静岡県　　　　しずおかけん (Shizuoka Prefecture)
7. 〜県　　　　〜けん (~ Prefecture)
8. 県境　　　　けんざかい (prefectural border)
9. 特別な　　　　とくべつな (special)
10. 象徴　　　　しょうちょう (symbol)
11. 札　　　　さつ (bill; note)
12. 描く　　　　えがく (to draw)
13. 世界文化遺産　　　　せかいぶんかいさん (World's Cultural Heritage (site))
14. [〜に]登録(する)　　　　とうろく(する) (to register)
15. 登山家　　　　とざんきゃく (mountain climber)
16. [〜に]役立つ　　　　やくだつ (to be useful)
17. 情報　　　　じょうほう (information)
18. ルート　　　　るーと (route)
19. 登る　　　　のぼる (to climb)
20. 一般的な　　　　いっぱんてきな (general)
21. 約　　　　やく (about; approximately)
22. 山小屋　　　　やまごや (mountain lodge)
23. 距離　　　　きょり (distance)
24. 難しさ　　　　むずかしさ (difficulty)
25. [〜に]合う　　　　あう (to match; to be suitable)
26. 選ぶ　　　　えらぶ (to choose)
27. 計画　　　　けいかく (plan)
28. 最も　　　　もっとも (most)
29. 吉田ルート　　　　よしだるーと (Yoshida Trail)
30. 山頂　　　　さんちょう (summit)
31. [〜に]泊まる　　　　とまる (to stay [vt.])
32. 日の出　　　　ひので (sunrise)
33. 下山(する)　　　　げざん(する) (to go down a mountain)
34. ご来光　　　　ごらいこう (rising sun)
35. 一生　　　　いっしょう (whole life; lifetime)
36. ツアー　　　　つあー (tour)
37. [〜に]参加(する)　　　　さんか(する) (to participate; to join)
38. 安心な　　　　あんしんな (relieving; reassuring)
39. 予約(する)　　　　よやく(する) (to make a reservation)
40. 服装　　　　ふくそう (clothes)
41. 計画を立てる　　　　けいかくをたてる (to make a plan)
42. 限る　　　　かぎる (to limit (See 文型・表現ノートに続きなし))
43. ０度　　　　れいど (zero degrees)
44. 〜以下　　　　〜いか (~ or less)
45. ダウンジャケット　　　　だうんじゃけっと (down jacket)
46. 丈夫な　　　　じょうぶな (sturdy; tough)
47. 登山靴　　　　とざんぐつ (hiking boots)
48. 岩　　　　いわ (rock)
49. 安全　　　　あんぜん (safety)
50. 用意(する)　　　　ようい(する) (to prepare; to arrange)
51. 点　　　　てん (point)
52. その他に　　　　そのほかに (other than that; in addition)
53. ゴミ箱　　　　ごみばこ (trash can)
54. 持ち帰る　　　　もちかえる (to bring back)
55. 汚す　　　　よごす (to make something dirty [vt.])
56. 守る　　　　まもる (to follow (rules))
57. 味わう　　　　あじわう (to taste; to enjoy)

第3課 ◎読み物2 居酒屋 〜日本らしさが感じられる場所〜

58. 感じる　　　　かんじる (to feel)
59. 値段　　　　ねだん (price)
60. [〜と]仲よく(なる)　　　　なかよく(なる) (to make friends with)
61. チェーン　　　　ちぇーん (chain)
62. 数　　　　かず (number)
63. 会社帰り　　　　かいしゃがえり (one's way home from work)
64. サラリーマン　　　　さらりーまん (salaried employee)
65. 主婦　　　　しゅふ (housewife; homemaker)
66. 家族連れ　　　　かぞくづれ (family)
67. 様々な　　　　さまざまな (various)
68. 求める　　　　もとめる (to seek; to want)
69. 特徴　　　　とくちょう (characteristic)
70. 魅力　　　　みりょく (appeal; charm)
71. 種類　　　　しゅるい (kinds)
72. 席　　　　せき (seat)
73. 席に着く　　　　せきにつく (to have a seat)
74. 普通の　　　　ふつうの (normal; ordinary)
75. 飲食店　　　　いんしょくてん (restaurant)
76. [〜と]変わらない　　　　かわらない (to be no different)
77. 枝豆　　　　えだまめ (edamame; boiled young soybeans)
78. から揚げ　　　　からあげ (fried chicken)
79. おつまみ　　　　おつまみ (snacks to go with alcohol)
80. 呼ぶ　　　　よぶ (to call; to refer to ~ as)
81. 日本酒　　　　にほんしゅ (Japanese rice wine; sake)
82. チューハイ　　　　ちゅーはい (shochu-based highball)
83. 注文(する)　　　　ちゅうもん(する) (to order)
84. ソフトドリンク　　　　そふとどりんく (non-alcoholic drinks)
85. 安さ　　　　やすさ (cheapness)
86. [〜を]気にする　　　　きにする (to mind; to worry)
87. さらに　　　　さらに (additionally)
88. 量　　　　りょう (quantity)
89. 飲み放題　　　　のみほうだい (all you can drink)
90. 覚える　　　　おぼえる (to remember; to memorize)
91. 決まった　　　　きまった (fixed)
92. 金額　　　　きんがく (amount of money; price)
93. 時間内　　　　じかんない (within a time frame)
94. 何＋counter＋も　　　　なん＋counter＋も (many ~ of)
95. 好きなだけ　　　　すきなだけ (as much as one likes)
96. 最大の　　　　さいだいの (the greatest)
97. 場　　　　ば (place)
98. たいてい　　　　たいてい (generally; mostly)
99. 個室　　　　こしつ (private room)
100. サークル　　　　さーくる (circle)
101. 飲み会　　　　のみかい (drinking party)
102. 打ち上げ　　　　うちあげ (party celebrating the finish of a project, event, etc.)
103. 年末　　　　ねんまつ (end of the year)
104. 忘年会　　　　ぼうねんかい (year-end party)
105. 年始　　　　ねんし (beginning of the year)
106. 新年会　　　　しんねんかい (New Year party)
107. [〜を]開く　　　　ひらく (to hold (a party))
108. 集まり　　　　あつまり (gathering)
109. わいわい　　　　わいわい (noisily)
110. 疲れる　　　　つかれる (to get tired; to get exhausted)
111. 息抜き　　　　いきぬき (breather; relaxation)
112. 解消(する)　　　　かいしょう(する) (to relieve (stress))
113. [〜と]親しい　　　　したしい (close; intimate)
114. 深める　　　　ふかめる (to deepen)
115. [〜に]足を運ぶ　　　　あしをはこぶ (to go to; to visit)
116. 独特な　　　　どくとくな (unique; original; distinctive)
117. 雰囲気　　　　ふんいき (atmosphere)
